Run Number,Score,Move Count,Max Tile,Win
1,324,112,128,False
2,288,98,128,False
3,278,95,128,False
4,208,67,64,False
5,272,89,64,False
6,620,213,512,False
7,296,102,128,False
8,510,170,256,False
9,290,93,64,False
10,550,185,256,False
11,534,174,256,False
12,408,136,256,False
13,134,40,16,False
14,594,196,256,False
15,774,250,512,False
16,304,100,128,False
17,454,149,256,False
18,362,120,128,False
19,454,152,256,False
20,436,137,256,False
21,360,118,128,False
22,360,118,128,False
23,206,67,64,False
24,522,172,256,False
25,484,160,256,False
26,506,169,256,False
27,252,82,128,False
28,242,82,64,False
29,564,179,256,False
30,362,115,256,False
31,270,88,128,False
32,464,156,256,False
33,622,213,256,False
34,398,137,128,False
35,336,107,128,False
36,512,165,256,False
37,474,156,128,False
38,492,163,256,False
39,562,187,256,False
40,440,136,256,False
41,432,145,256,False
42,358,115,128,False
43,338,117,128,False
44,280,93,128,False
45,290,93,128,False
46,518,168,256,False
47,264,89,128,False
48,336,110,128,False
49,472,155,256,False
50,434,149,256,False
51,300,104,128,False
52,242,79,128,False
53,364,116,128,False
54,440,146,256,False
55,282,91,128,False
56,276,87,128,False
57,342,116,128,False
58,218,70,64,False
59,332,108,128,False
60,306,98,128,False
61,526,176,256,False
62,296,96,128,False
63,448,148,256,False
64,516,176,256,False
65,416,136,128,False
66,492,161,256,False
67,304,99,128,False
68,500,158,256,False
69,448,148,128,False
70,290,92,128,False
71,552,174,256,False
72,196,62,64,False
73,782,257,512,False
74,290,94,64,False
75,656,214,512,False
76,570,190,256,False
77,496,167,256,False
78,1072,358,512,False
79,874,297,512,False
80,820,278,512,False
81,354,118,128,False
82,338,117,128,False
83,214,71,64,False
84,230,77,128,False
85,536,176,256,False
86,584,190,256,False
87,348,113,128,False
88,356,117,128,False
89,476,159,256,False
90,354,113,128,False
91,596,194,256,False
92,504,164,256,False
93,360,119,128,False
94,304,101,128,False
95,350,114,128,False
96,482,159,256,False
97,408,133,256,False
98,456,154,256,False
99,504,166,256,False
100,186,60,64,False
101,346,114,128,False
102,540,180,256,False
103,240,75,128,False
104,636,207,256,False
105,360,117,128,False
106,516,163,256,False
107,484,154,256,False
108,354,113,128,False
109,352,115,128,False
110,370,118,128,False
111,380,126,128,False
112,420,145,256,False
113,318,100,128,False
114,464,152,256,False
115,386,130,128,False
116,422,144,128,False
117,316,106,128,False
118,288,92,128,False
119,306,104,128,False
120,318,96,128,False
121,336,107,128,False
122,448,148,128,False
123,866,291,512,False
124,232,78,64,False
125,310,102,128,False
126,328,103,128,False
127,386,124,128,False
128,508,163,256,False
129,286,94,128,False
130,486,156,256,False
131,278,91,128,False
132,792,261,512,False
133,702,228,256,False
134,392,127,256,False
135,288,93,128,False
136,494,163,256,False
137,348,114,128,False
138,208,67,64,False
139,298,96,128,False
140,452,149,256,False
141,586,190,256,False
142,256,84,128,False
143,338,112,128,False
144,284,88,128,False
145,276,97,64,False
146,424,142,128,False
147,238,75,64,False
148,356,117,128,False
149,344,114,128,False
150,634,210,256,False
151,580,188,256,False
152,260,85,128,False
153,446,144,256,False
154,450,148,256,False
155,564,191,256,False
156,564,184,256,False
157,540,176,256,False
158,538,179,256,False
159,322,103,128,False
160,288,93,128,False
161,308,101,128,False
162,298,105,128,False
163,302,95,128,False
164,294,98,128,False
165,458,148,256,False
166,462,157,256,False
167,280,89,128,False
168,148,46,32,False
169,278,91,128,False
170,560,188,256,False
171,518,175,256,False
172,656,215,256,False
173,522,172,256,False
174,580,194,256,False
175,356,111,128,False
176,574,195,256,False
177,426,141,256,False
178,336,110,128,False
179,422,137,256,False
180,314,103,128,False
181,742,251,512,False
182,322,105,128,False
183,230,77,64,False
184,310,105,128,False
185,564,194,256,False
186,670,223,512,False
187,242,74,64,False
188,318,105,128,False
189,384,123,128,False
190,234,73,128,False
191,570,182,256,False
192,432,142,256,False
193,116,35,32,False
194,278,95,128,False
195,286,91,128,False
196,274,89,64,False
197,568,195,256,False
198,550,181,256,False
199,200,64,64,False
200,408,129,256,False
201,288,94,128,False
202,174,55,64,False
203,232,78,64,False
204,446,145,256,False
205,226,71,64,False
206,342,121,128,False
207,184,61,64,False
208,358,118,128,False
209,188,62,64,False
210,338,113,128,False
211,172,59,32,False
212,398,130,256,False
213,566,186,256,False
214,172,56,64,False
215,376,123,128,False
216,172,56,64,False
217,206,67,64,False
218,472,156,256,False
219,418,133,256,False
220,276,93,128,False
221,296,99,128,False
222,444,145,256,False
223,284,96,128,False
224,784,249,512,False
225,800,263,512,False
226,566,179,256,False
227,308,98,128,False
228,640,206,256,False
229,332,110,128,False
230,328,110,128,False
231,624,211,256,False
232,184,60,64,False
233,524,179,256,False
234,328,109,128,False
235,548,178,256,False
236,438,147,256,False
237,580,193,256,False
238,200,64,64,False
239,328,107,128,False
240,280,85,128,False
241,444,148,256,False
242,530,180,256,False
243,298,97,128,False
244,280,93,128,False
245,508,171,256,False
246,310,100,128,False
247,648,210,256,False
248,216,73,64,False
249,444,147,256,False
250,362,118,128,False
